,topics,perplexity,coherance
11,"[(0, '0.029*""gesture"" + 0.019*""rotate"" + 0.017*""accidentally"" + 0.016*""tab"" + 0.015*""trigger"" + 0.012*""would"" + 0.011*""pinch"" + 0.011*""want"" + 0.011*""use"" + 0.009*""bug""'),",-6.023679666,0.527070821
," (1, '0.017*""finger"" + 0.015*""id"" + 0.012*""disable"" + 0.010*""move"" + 0.010*""also"" + 0.008*""though"" + 0.008*""zoom"" + 0.008*""twist"" + 0.008*""problem"" + 0.008*""one""')]",,
12,"[(0, '0.021*""want"" + 0.020*""would"" + 0.017*""gesture"" + 0.017*""consider"" + 0.017*""bug"" + 0.017*""pinch"" + 0.014*""swipe"" + 0.014*""too"" + 0.014*""rotate"" + 0.011*""well""'),  ",-6.118133485,0.466627915
,"(1, '0.019*""disable"" + 0.019*""finger"" + 0.015*""id"" + 0.012*""move"" + 0.012*""twist"" + 0.012*""one"" + 0.012*""top"" + 0.012*""also"" + 0.012*""win"" + 0.012*""multitouch""'),",,
,"(2, '0.028*""gesture"" + 0.023*""tab"" + 0.021*""rotate"" + 0.017*""accidentally"" + 0.014*""zoom"" + 0.014*""switch"" + 0.012*""trigger"" + 0.012*""ive"" + 0.012*""use"" + 0.012*""right""')]",,
13,"[(0, '0.025*""gesture"" + 0.017*""swipe"" + 0.017*""osx"" + 0.013*""well"" + 0.013*""window"" + 0.013*""u"" + 0.012*""want"" + 0.009*""disable"" + 0.009*""would"" + 0.009*""default""'),   ",-6.172100785,0.45760135
,"(1, '0.026*""disable"" + 0.016*""id"" + 0.016*""multitouch"" + 0.011*""twist"" + 0.011*""win"" + 0.011*""please"" + 0.011*""prefs"" + 0.011*""sure"" + 0.011*""since"" + 0.011*""implement""'),",,
,"(2, '0.034*""gesture"" + 0.018*""tab"" + 0.018*""rotate"" + 0.018*""accidentally"" + 0.014*""switch"" + 0.014*""zoom"" + 0.011*""think"" + 0.011*""page"" + 0.011*""frequently"" + 0.011*""pinch""'),",,
,"(3, '0.022*""rotate"" + 0.022*""finger"" + 0.022*""tab"" + 0.021*""pinch"" + 0.021*""bug"" + 0.018*""trigger"" + 0.018*""consider"" + 0.015*""too"" + 0.015*""move"" + 0.015*""use""')]",,
14,"[(0, '0.020*""swipe"" + 0.020*""osx"" + 0.015*""u"" + 0.015*""well"" + 0.015*""window"" + 0.011*""want"" + 0.010*""id"" + 0.010*""o"" + 0.010*""x"" + 0.010*""default""'),    ",-6.218589274,0.37714517
,"(1, '0.022*""disable"" + 0.015*""problem"" + 0.015*""id"" + 0.015*""so"" + 0.015*""nearly"" + 0.008*""one"" + 0.008*""twist"" + 0.008*""window"" + 0.008*""bug"" + 0.008*""hit""'),",,
,"(2, '0.030*""gesture"" + 0.022*""zoom"" + 0.018*""rotate"" + 0.018*""trigger"" + 0.014*""right"" + 0.013*""tab"" + 0.013*""frequently"" + 0.013*""page"" + 0.013*""in"" + 0.013*""reply""'),",,
,"(3, '0.037*""finger"" + 0.023*""trigger"" + 0.019*""tab"" + 0.019*""use"" + 0.019*""move"" + 0.018*""also"" + 0.015*""rotate"" + 0.015*""accidentally"" + 0.015*""change"" + 0.015*""make""'),",,
,"(4, '0.032*""gesture"" + 0.027*""pinch"" + 0.024*""bug"" + 0.023*""rotate"" + 0.023*""consider"" + 0.019*""tab"" + 0.019*""accidentally"" + 0.019*""too"" + 0.018*""want"" + 0.014*""switch""')]",,
15,"[(0, '0.030*""operation"" + 0.028*""create"" + 0.026*""op"" + 0.020*""exist"" + 0.017*""file"" + 0.015*""folder"" + 0.013*""created"" + 0.013*""createfileoperation"" + 0.013*""change"" + 0.011*""check""')]",-5.207478883,0.43400631
16,"[(0, '0.030*""exist"" + 0.022*""operation"" + 0.022*""createfileoperation"" + 0.022*""op"" + 0.019*""check"" + 0.019*""already"" + 0.016*""created"" + 0.016*""create"" + 0.016*""return"" + 0.015*""resource""'), ",-5.298019023,0.464112247
,"(1, '0.042*""create"" + 0.038*""operation"" + 0.030*""op"" + 0.026*""file"" + 0.022*""folder"" + 0.018*""change"" + 0.018*""workspace"" + 0.018*""problem"" + 0.014*""execute"" + 0.014*""use""')]",,
17,"[(0, '0.037*""exist"" + 0.029*""operation"" + 0.021*""op"" + 0.021*""create"" + 0.021*""created"" + 0.021*""check"" + 0.021*""already"" + 0.017*""createfileoperation"" + 0.017*""folder"" + 0.017*""resource""'),  ",-5.429622458,0.427901589
,"(1, '0.049*""create"" + 0.049*""op"" + 0.022*""file"" + 0.022*""change"" + 0.022*""workspace"" + 0.022*""execute"" + 0.022*""problem"" + 0.016*""operation"" + 0.016*""reason"" + 0.016*""cannot""'),",,
,"(2, '0.046*""operation"" + 0.024*""file"" + 0.017*""know"" + 0.017*""invalid"" + 0.017*""folder"" + 0.017*""use"" + 0.017*""two"" + 0.017*""code"" + 0.017*""create"" + 0.010*""state""')]",,
18,"[(0, '0.038*""exist"" + 0.029*""operation"" + 0.024*""create"" + 0.024*""check"" + 0.024*""already"" + 0.020*""createfileoperation"" + 0.019*""created"" + 0.019*""op"" + 0.019*""return"" + 0.019*""folder""'),   ",-5.486185926,0.495338667
,"(1, '0.044*""op"" + 0.044*""create"" + 0.023*""change"" + 0.023*""workspace"" + 0.023*""execute"" + 0.023*""problem"" + 0.023*""operation"" + 0.016*""reason"" + 0.016*""cannot"" + 0.016*""since""'),",,
,"(2, '0.039*""operation"" + 0.027*""know"" + 0.027*""invalid"" + 0.015*""code"" + 0.015*""file"" + 0.015*""method"" + 0.015*""use"" + 0.015*""change"" + 0.015*""state"" + 0.015*""longer""'),",,
,"(3, '0.033*""file"" + 0.033*""folder"" + 0.033*""create"" + 0.033*""op"" + 0.032*""operation"" + 0.023*""use"" + 0.022*""fix"" + 0.022*""change"" + 0.013*""state"" + 0.013*""problem""')]",,
19,"[(0, '0.045*""exist"" + 0.031*""operation"" + 0.031*""createfileoperation"" + 0.023*""create"" + 0.023*""return"" + 0.023*""check"" + 0.023*""tree"" + 0.023*""already"" + 0.023*""resource"" + 0.023*""invalid""'),    ",-5.532119206,0.517410278
,"(1, '0.039*""operation"" + 0.030*""create"" + 0.030*""problem"" + 0.030*""workspace"" + 0.030*""exist"" + 0.030*""change"" + 0.021*""case"" + 0.021*""folderdescription"" + 0.021*""member"" + 0.021*""created""'),",,
,"(2, '0.043*""operation"" + 0.030*""know"" + 0.030*""invalid"" + 0.016*""use"" + 0.016*""state"" + 0.016*""happen"" + 0.016*""longer"" + 0.016*""workspace"" + 0.016*""change"" + 0.016*""method""'),",,
,"(3, '0.054*""create"" + 0.042*""folder"" + 0.042*""file"" + 0.029*""operation"" + 0.016*""use"" + 0.016*""problem"" + 0.016*""two"" + 0.016*""want"" + 0.016*""this"" + 0.016*""however""'),",,
,"(4, '0.077*""op"" + 0.029*""create"" + 0.028*""fix"" + 0.021*""created"" + 0.021*""exists"" + 0.015*""change"" + 0.015*""operation"" + 0.015*""code"" + 0.015*""must"" + 0.015*""execute""')]",,
20,"[(0, '0.082*""azaz"" + 0.042*""removed"" + 0.042*""added"" + 0.022*""line"" + 0.017*""patch"" + 0.011*""add"" + 0.010*""count"" + 0.007*""empty"" + 0.007*""lines"" + 0.007*""remove""')]",-5.924527101,0.55892701
21,"[(0, '0.038*""line"" + 0.029*""patch"" + 0.019*""add"" + 0.016*""count"" + 0.012*""empty"" + 0.011*""lines"" + 0.011*""counting"" + 0.011*""remove"" + 0.010*""comment"" + 0.009*""default""'), ",-6.005828315,0.487399219
,"(1, '0.188*""azaz"" + 0.096*""removed"" + 0.095*""added"" + 0.010*""details"" + 0.010*""attachment"" + 0.009*""id"" + 0.009*""create"" + 0.005*""need"" + 0.004*""head"" + 0.004*""would""')]",,
22,"[(0, '0.104*""removed"" + 0.103*""azaz"" + 0.033*""line"" + 0.019*""count"" + 0.014*""patch"" + 0.014*""add"" + 0.014*""comment"" + 0.014*""empty"" + 0.012*""lines"" + 0.012*""remove""'),  ",-6.152707873,0.423600644
,"(1, '0.138*""added"" + 0.138*""azaz"" + 0.013*""line"" + 0.013*""patch"" + 0.011*""need"" + 0.011*""apply"" + 0.009*""would"" + 0.009*""right"" + 0.007*""mean"" + 0.006*""count""'),",,
,"(2, '0.027*""patch"" + 0.018*""add"" + 0.018*""line"" + 0.014*""attachment"" + 0.014*""details"" + 0.014*""bug"" + 0.012*""create"" + 0.012*""id"" + 0.012*""martin"" + 0.010*""like""')]",,
23,"[(0, '0.050*""line"" + 0.026*""patch"" + 0.022*""count"" + 0.019*""empty"" + 0.019*""add"" + 0.018*""default"" + 0.016*""comment"" + 0.016*""lines"" + 0.016*""remove"" + 0.013*""use""'),   ",-6.220624236,0.469920353
,"(1, '0.187*""removed"" + 0.185*""azaz"" + 0.011*""one"" + 0.008*""line"" + 0.008*""count"" + 0.006*""match"" + 0.005*""would"" + 0.004*""diff"" + 0.004*""opening"" + 0.004*""mind""'),",,
,"(2, '0.032*""patch"" + 0.018*""add"" + 0.017*""attachment"" + 0.017*""details"" + 0.017*""bug"" + 0.015*""id"" + 0.015*""create"" + 0.015*""line"" + 0.013*""martin"" + 0.013*""think""'),",,
,"(3, '0.197*""azaz"" + 0.197*""added"" + 0.005*""page"" + 0.005*""also"" + 0.004*""give"" + 0.004*""number"" + 0.004*""two"" + 0.004*""separate"" + 0.004*""eg"" + 0.004*""i""')]",,
24,"[(0, '0.045*""line"" + 0.025*""comment"" + 0.020*""patch"" + 0.019*""empty"" + 0.018*""counting"" + 0.016*""default"" + 0.013*""count"" + 0.013*""page"" + 0.012*""use"" + 0.010*""pref""'),    ",-6.2570494,0.406288793
,"(1, '0.309*""azaz"" + 0.157*""removed"" + 0.155*""added"" + 0.003*""one"" + 0.003*""diff"" + 0.003*""concern"" + 0.003*""record"" + 0.003*""it"" + 0.003*""is"" + 0.003*""main""'),",,
,"(2, '0.032*""patch"" + 0.021*""attachment"" + 0.021*""details"" + 0.021*""bug"" + 0.018*""id"" + 0.018*""create"" + 0.015*""add"" + 0.013*""line"" + 0.013*""make"" + 0.013*""mechanism""'),",,
,"(3, '0.027*""line"" + 0.022*""patch"" + 0.019*""like"" + 0.016*""add"" + 0.016*""would"" + 0.012*""look"" + 0.012*""empty"" + 0.012*""remove"" + 0.012*""output"" + 0.009*""also""'),",,
,"(4, '0.035*""line"" + 0.029*""count"" + 0.024*""lines"" + 0.024*""add"" + 0.018*""patch"" + 0.018*""need"" + 0.015*""remove"" + 0.015*""default"" + 0.014*""would"" + 0.013*""pattern""')]",,
25,"[(0, '0.037*""comment"" + 0.031*""javadoc"" + 0.027*""class"" + 0.024*""remove"" + 0.017*""think"" + 0.017*""bundlefinder"" + 0.017*""platform"" + 0.017*""add"" + 0.017*""find"" + 0.017*""act""')]",-4.744134836,0.508205664
26,"[(0, '0.046*""javadoc"" + 0.044*""comment"" + 0.032*""think"" + 0.027*""act"" + 0.025*""make"" + 0.023*""remove"" + 0.018*""deprecate"" + 0.018*""replacement"" + 0.018*""need"" + 0.018*""method""'), ",-4.920192679,0.461349075
,"(1, '0.040*""class"" + 0.032*""comment"" + 0.029*""bundlefinder"" + 0.029*""find"" + 0.027*""add"" + 0.027*""platform"" + 0.024*""remove"" + 0.020*""bug"" + 0.016*""nls"" + 0.016*""use""')]",,
27,"[(0, '0.057*""comment"" + 0.046*""javadoc"" + 0.035*""remove"" + 0.025*""class"" + 0.025*""think"" + 0.025*""last"" + 0.025*""act"" + 0.025*""years"" + 0.025*""make"" + 0.025*""action""'),  ",-4.940223737,0.522201465
,"(1, '0.041*""bundlefinder"" + 0.041*""class"" + 0.041*""find"" + 0.031*""javadoc"" + 0.022*""remove"" + 0.022*""comment"" + 0.022*""act"" + 0.022*""bug"" + 0.022*""provide"" + 0.022*""xxx""'),",,
,"(2, '0.046*""add"" + 0.035*""comment"" + 0.035*""platform"" + 0.035*""milestone"" + 0.025*""like"" + 0.025*""pascal"" + 0.025*""ver"" + 0.025*""replacement"" + 0.025*""bunch"" + 0.025*""implemented""')]",,
28,"[(0, '0.053*""javadoc"" + 0.028*""think"" + 0.028*""class"" + 0.028*""years"" + 0.028*""comment"" + 0.028*""and"" + 0.028*""action"" + 0.028*""last"" + 0.028*""act"" + 0.028*""plan""'),   ",-5.044294852,0.492095077
,"(1, '0.044*""class"" + 0.034*""comment"" + 0.034*""remove"" + 0.034*""javadoc"" + 0.034*""bundlefinder"" + 0.034*""find"" + 0.023*""act"" + 0.023*""bug"" + 0.023*""nls"" + 0.023*""provide""'),",,
,"(2, '0.039*""add"" + 0.039*""implemented"" + 0.039*""ever"" + 0.039*""think"" + 0.039*""replacement"" + 0.039*""functionality"" + 0.022*""implementation"" + 0.022*""report"" + 0.022*""m"" + 0.022*""bug""'),",,
,"(3, '0.070*""comment"" + 0.037*""platform"" + 0.037*""milestone"" + 0.037*""ver"" + 0.037*""add"" + 0.037*""bunch"" + 0.037*""pascal"" + 0.037*""like"" + 0.021*""target"" + 0.021*""also""')]",,
29,"[(0, '0.062*""javadoc"" + 0.034*""method"" + 0.034*""use"" + 0.034*""deprecate"" + 0.034*""platformgetresourcestringbundlestring"" + 0.034*""class"" + 0.034*""bundlefinderfind"" + 0.034*""one"" + 0.034*""accord"" + 0.034*""nls""'),    ",-4.985408862,0.442571396
,"(1, '0.056*""class"" + 0.056*""bundlefinder"" + 0.056*""find"" + 0.029*""bug"" + 0.029*""nls"" + 0.029*""provide"" + 0.029*""would"" + 0.029*""use"" + 0.016*""functionality"" + 0.016*""replacement""'),",,
,"(2, '0.047*""implemented"" + 0.047*""replacement"" + 0.047*""ever"" + 0.047*""functionality"" + 0.047*""think"" + 0.026*""add"" + 0.026*""comment"" + 0.026*""platform"" + 0.026*""bug"" + 0.026*""implementation""'),",,
,"(3, '0.061*""comment"" + 0.042*""milestone"" + 0.042*""ver"" + 0.042*""bunch"" + 0.042*""platform"" + 0.042*""pascal"" + 0.042*""add"" + 0.042*""like"" + 0.023*""also"" + 0.023*""target""'),",,
,"(4, '0.073*""comment"" + 0.073*""remove"" + 0.050*""javadoc"" + 0.050*""act"" + 0.026*""make"" + 0.026*""think"" + 0.026*""need"" + 0.026*""and"" + 0.026*""rather"" + 0.026*""current""')]",,
30,"[(0, '0.019*""page"" + 0.014*""rtl"" + 0.014*""bug"" + 0.014*""like"" + 0.011*""get"" + 0.009*""add"" + 0.009*""could"" + 0.009*""ltr"" + 0.009*""set"" + 0.009*""use""')]",-5.52343111,0.584481172
31,"[(0, '0.023*""page"" + 0.023*""like"" + 0.021*""rtl"" + 0.017*""bug"" + 0.017*""get"" + 0.014*""directionality"" + 0.014*""could"" + 0.014*""please"" + 0.011*""ltr"" + 0.011*""set""'), ",-5.644290913,0.535780212
,"(1, '0.014*""localedir"" + 0.014*""page"" + 0.014*""control"" + 0.014*""comment"" + 0.014*""thats"" + 0.014*""though"" + 0.014*""think"" + 0.014*""css"" + 0.010*""solution"" + 0.010*""globaldtd""')]",,
32,"[(0, '0.023*""page"" + 0.023*""bug"" + 0.023*""like"" + 0.018*""rtl"" + 0.014*""directionality"" + 0.014*""set"" + 0.014*""localize"" + 0.014*""around"" + 0.014*""make"" + 0.014*""work""'), ",-5.772442025,0.555103445
,"(1, '0.020*""page"" + 0.015*""create"" + 0.015*""css"" + 0.015*""prefers"" + 0.015*""wc"" + 0.015*""aboutrobots"" + 0.015*""markup"" + 0.015*""bug"" + 0.015*""class"" + 0.015*""pack""'),",,
," (2, '0.024*""get"" + 0.019*""please"" + 0.019*""rtl"" + 0.019*""localedir"" + 0.019*""though"" + 0.019*""thats"" + 0.017*""control"" + 0.014*""page"" + 0.013*""actually"" + 0.013*""solution""')]",,
33,"[(0, '0.040*""bug"" + 0.025*""like"" + 0.025*""work"" + 0.025*""around"" + 0.017*""add"" + 0.017*""im"" + 0.017*""look"" + 0.017*""localization"" + 0.017*""trunk"" + 0.017*""pages""'),   ",-5.740842659,0.503375116
,"(1, '0.017*""create"" + 0.017*""pack"" + 0.017*""aboutrobots"" + 0.017*""language"" + 0.017*""bug"" + 0.017*""css"" + 0.017*""prefers"" + 0.017*""wc"" + 0.017*""markup"" + 0.017*""class""'),",,
,"(2, '0.025*""localedir"" + 0.025*""though"" + 0.025*""thats"" + 0.017*""control"" + 0.017*""solution"" + 0.017*""think"" + 0.017*""actually"" + 0.017*""globaldtd"" + 0.017*""branch"" + 0.017*""reuse""'),",,
,"(3, '0.046*""page"" + 0.029*""rtl"" + 0.029*""get"" + 0.024*""directionality"" + 0.024*""ltr"" + 0.024*""please"" + 0.018*""set"" + 0.013*""instead"" + 0.013*""use"" + 0.013*""like""')]",,
34,"[(0, '0.026*""add"" + 0.026*""look"" + 0.026*""localization"" + 0.026*""im"" + 0.026*""patch"" + 0.014*""bug"" + 0.014*""like"" + 0.014*""work"" + 0.014*""make"" + 0.014*""could""'),    ",-5.818879311,0.407134231
,"(1, '0.027*""create"" + 0.027*""markup"" + 0.027*""prefers"" + 0.027*""wc"" + 0.027*""css"" + 0.015*""comment"" + 0.015*""aboutrobots"" + 0.015*""give"" + 0.015*""words"" + 0.015*""gavin""'),",,
,"(2, '0.030*""control"" + 0.030*""localedir"" + 0.021*""file"" + 0.021*""solution"" + 0.021*""branch"" + 0.021*""though"" + 0.021*""globaldtd"" + 0.021*""direction"" + 0.021*""thats"" + 0.021*""reuse""'),",,
,"(3, '0.034*""get"" + 0.034*""please"" + 0.026*""directionality"" + 0.018*""could"" + 0.018*""document"" + 0.018*""mozillacentral"" + 0.018*""approval"" + 0.018*""land"" + 0.018*""update"" + 0.010*""page""'),",,
,"(4, '0.041*""page"" + 0.035*""rtl"" + 0.035*""like"" + 0.024*""bug"" + 0.018*""actually"" + 0.018*""would"" + 0.018*""ltr"" + 0.018*""side"" + 0.018*""around"" + 0.012*""think""')]",,
35,"[(0, '0.035*""interface"" + 0.023*""superinterfaces"" + 0.023*""class"" + 0.020*""order"" + 0.015*""x"" + 0.015*""example"" + 0.015*""spec"" + 0.014*""b"" + 0.014*""change"" + 0.014*""implementation""')]",-5.378918392,0.386906842
36,"[(0, '0.048*""class"" + 0.025*""x"" + 0.023*""order"" + 0.019*""change"" + 0.017*""b"" + 0.015*""a"" + 0.014*""superinterfaces"" + 0.013*""implement"" + 0.013*""behavior"" + 0.013*""would""'), ",-5.490216786,0.396940849
,"(1, '0.057*""interface"" + 0.031*""superinterfaces"" + 0.026*""spec"" + 0.022*""example"" + 0.022*""implementation"" + 0.021*""breadthfirst"" + 0.018*""order"" + 0.016*""return"" + 0.015*""traversal"" + 0.014*""classs""')]",,
37,"[(0, '0.055*""class"" + 0.031*""x"" + 0.030*""b"" + 0.029*""superinterfaces"" + 0.020*""interface"" + 0.019*""a"" + 0.018*""order"" + 0.017*""change"" + 0.016*""behavior"" + 0.016*""implement""'),  ",-5.54119239,0.462360716
,"(1, '0.049*""interface"" + 0.045*""spec"" + 0.032*""implementation"" + 0.024*""fix"" + 0.024*""match"" + 0.019*""contradiction"" + 0.015*""n"" + 0.015*""test"" + 0.015*""think"" + 0.013*""example""'),",,
,"(2, '0.039*""interface"" + 0.036*""order"" + 0.034*""superinterfaces"" + 0.034*""breadthfirst"" + 0.029*""return"" + 0.026*""traversal"" + 0.022*""classs"" + 0.018*""xs"" + 0.018*""superclass"" + 0.018*""in""')]",,
38,"[(0, '0.053*""b"" + 0.049*""superinterfaces"" + 0.042*""class"" + 0.036*""x"" + 0.030*""a"" + 0.025*""example"" + 0.019*""order"" + 0.019*""change"" + 0.019*""search"" + 0.018*""extends""'),   ",-5.555802003,0.480516427
,"(1, '0.049*""spec"" + 0.037*""implementation"" + 0.031*""match"" + 0.031*""fix"" + 0.019*""contradiction"" + 0.019*""case"" + 0.019*""change"" + 0.019*""test"" + 0.013*""example"" + 0.013*""richer""'),",,
,"(2, '0.042*""interface"" + 0.041*""superinterfaces"" + 0.037*""breadthfirst"" + 0.031*""order"" + 0.027*""traversal"" + 0.027*""classs"" + 0.026*""return"" + 0.022*""in"" + 0.021*""example"" + 0.017*""xs""'),",,
,"(3, '0.079*""interface"" + 0.046*""class"" + 0.025*""order"" + 0.021*""behavior"" + 0.016*""c"" + 0.016*""n"" + 0.014*""superclass"" + 0.011*""return"" + 0.011*""implementation"" + 0.011*""x""')]",,
